# format: <mono_ts>  <name>  <off>  <old> -> <new>
639.248083875  OP_GEOM[2]             0x0050  0x00000000 -> 0x00011d10
639.248083875  OP_GEOM[3]             0x0054  0x00000000 -> 0x00008e90
639.248083875  OP_FORMAT_MAGIC        0x0058  0x00000000 -> 0x03381801
639.248083875  OP_MATRIX[0]           0x005c  0x00000000 -> 0x00000303
639.248083875  OP_MATRIX[1]           0x0060  0x00000000 -> 0x00f0000f
639.248083875  OP_MATRIX[2]           0x0064  0x00000000 -> 0xf0000f00
639.248083875  OP_MATRIX[5]           0x0070  0x00000000 -> 0x0c0c0303
639.248083875  OP_MATRIX[6]           0x0074  0x00000000 -> 0xc0c03030
639.254952468  WE_CFG                 0x0098  0x00000000 -> 0x00000020
639.259342542  PIPELINE_CFG           0x0008  0x00000000 -> 0x038061fb
639.287426097  DRI_INTERVAL           0x00f4  0x00000000 -> 0x00010000
639.287426097  TABLE_SEL              0x0124  0x00000000 -> 0x00000006
639.287426097  TABLE_INDEX            0x0128  0x00000000 -> 0x00000161
639.292291134  TABLE_SEL              0x0124  0x00000006 -> 0x00000000
639.292291134  TABLE_INDEX            0x0128  0x00000161 -> 0x000002be
639.297281208  TABLE_SEL              0x0124  0x00000000 -> 0x00000005
639.297281208  TABLE_INDEX            0x0128  0x000002be -> 0x00000040
639.302527727  TABLE_SEL              0x0124  0x00000005 -> 0x00000000
639.302527727  TABLE_INDEX            0x0128  0x00000040 -> 0x00000080
639.343075727  FE_BUFFER_CFG          0x0080  0x00000000 -> 0x000e000e
639.348396023  FE_Y_PING_ADDR         0x0084  0x00000000 -> 0x7c140000
639.353822542  FE_CBCR_PING_ADDR      0x008c  0x00000000 -> 0x7c152c00
639.359618690  FE_Y_PONG_ADDR         0x0088  0x00000000 -> 0x7c140000
639.359618690  FE_CBCR_PONG_ADDR      0x0090  0x00000000 -> 0x7c152c00
639.365031727  FE_CMD                 0x0094  0x00000000 -> 0x00000001
639.382303727  WE_Y_PING_ADDR         0x00d8  0x00000000 -> 0x7c180270
639.387545801  WE_Y_PING_CFG          0x00c8  0x00000000 -> 0x0002558e
639.387545801  WE_Y_PONG_CFG          0x00cc  0x00000000 -> 0x0002558e
639.387545801  WE_Y_PONG_ADDR         0x00dc  0x00000000 -> 0x7c180270
639.399881356  IRQ_MASK               0x0014  0x00000000 -> 0x00001801
639.411248023  IRQ_MASK               0x0014  0x00001801 -> 0xffffffff
639.416985356  START_KICK             0x00f0  0x00000000 -> 0x00000001
639.437954245  IRQ_MASK               0x0014  0xffffffff -> 0x00000000
639.437954245  IRQ_CLEAR              0x0018  0xffffffff -> 0x00000003
639.437954245  ENCODE_OUTPUT_SIZE     0x0034  0x00000000 -> 0x00002e71
639.437954245  FE_CMD                 0x0094  0x00000001 -> 0x00000003
639.521220616  HW_VERSION             0x0000  0x00001100 -> 0x00000080
639.521220616  RESET_CMD              0x0004  0x00000000 -> 0x00000080
639.521220616  PIPELINE_CFG           0x0008  0x038061fb -> 0x00000080
639.521220616  REALTIME_CMD           0x000c  0x00000000 -> 0x00000080
639.521220616  IRQ_MASK               0x0014  0x00000000 -> 0x00000080
639.521220616  IRQ_CLEAR              0x0018  0x00000003 -> 0x00000080
639.521220616  IRQ_STATUS             0x001c  0x00000000 -> 0x00000080
639.521220616  STOP_REQ               0x0024  0x00000000 -> 0x00000080
639.521220616  STOP_STATUS            0x0028  0x00000002 -> 0x00000080
639.521220616  ENCODE_OUTPUT_SIZE     0x0034  0x00002e71 -> 0x00000080
639.521220616  FE_INPUT_FORMAT        0x0038  0x00000010 -> 0x00000080
639.521220616  FE_DIMS                0x003c  0x0013000e -> 0x00000080
639.521220616  FE_PIPELINE_MODE       0x0040  0x00000203 -> 0x00000080
639.521220616  OP_ENCODE_MODE         0x0044  0x00000003 -> 0x00000080
639.521220616  OP_GEOM[0]             0x0048  0x00011d00 -> 0x00000080
639.521220616  OP_GEOM[1]             0x004c  0x00008e80 -> 0x00000080
639.521220616  OP_GEOM[2]             0x0050  0x00011d10 -> 0x00000080
639.521220616  OP_GEOM[3]             0x0054  0x00008e90 -> 0x00000080
639.521220616  OP_FORMAT_MAGIC        0x0058  0x03381801 -> 0x00000080
639.521220616  OP_MATRIX[0]           0x005c  0x00000303 -> 0x00000080
639.521220616  OP_MATRIX[1]           0x0060  0x00f0000f -> 0x00000080
639.521220616  OP_MATRIX[2]           0x0064  0xf0000f00 -> 0x00000080
639.521220616  OP_MATRIX[3]           0x0068  0x00000000 -> 0x00000080
639.521220616  OP_MATRIX[4]           0x006c  0x00000000 -> 0x00000080
639.521220616  OP_MATRIX[5]           0x0070  0x0c0c0303 -> 0x00000080
639.521220616  OP_MATRIX[6]           0x0074  0xc0c03030 -> 0x00000080
639.521220616  OP_MATRIX[7]           0x0078  0x00000000 -> 0x00000080
639.521220616  OP_MATRIX[8]           0x007c  0x00000000 -> 0x00000080
639.521220616  FE_BUFFER_CFG          0x0080  0x000e000e -> 0x00000080
639.521220616  FE_Y_PING_ADDR         0x0084  0x7c140000 -> 0x00000080
639.521220616  FE_Y_PONG_ADDR         0x0088  0x7c140000 -> 0x00000080
639.521220616  FE_CBCR_PING_ADDR      0x008c  0x7c152c00 -> 0x00000080
639.521220616  FE_CBCR_PONG_ADDR      0x0090  0x7c152c00 -> 0x00000080
639.521220616  FE_CMD                 0x0094  0x00000003 -> 0x00000080
639.521220616  WE_CFG                 0x0098  0x00000020 -> 0x00000080
639.521220616  WE_Y_THRESHOLD         0x00c0  0x016a0190 -> 0x00000080
639.521220616  WE_CBCR_THRESHOLD      0x00c4  0x016a0190 -> 0x00000080
639.521220616  WE_Y_PING_CFG          0x00c8  0x0002558e -> 0x00000080
639.521220616  WE_Y_PONG_CFG          0x00cc  0x0002558e -> 0x00000080
639.521220616  WE_Y_PING_ADDR         0x00d8  0x7c180270 -> 0x00000080
639.521220616  WE_Y_PONG_ADDR         0x00dc  0x7c180270 -> 0x00000080
639.521220616  WE_Y_UB_CFG            0x00e8  0x01ff0000 -> 0x00000080
639.521220616  START_KICK             0x00f0  0x00000001 -> 0x00000080
639.521220616  DRI_INTERVAL           0x00f4  0x00010000 -> 0x00000080
639.521220616  FSC_COUNT              0x0110  0x00000000 -> 0x00000080
639.521220616  FSC_THRESHOLD[0]       0x0114  0x00000000 -> 0x00000080
639.521220616  FSC_THRESHOLD[1]       0x0118  0x00000000 -> 0x00000080
639.521220616  FSC_THRESHOLD[2]       0x011c  0x00000000 -> 0x00000080
639.521220616  FSC_THRESHOLD[3]       0x0120  0x00000000 -> 0x00000080
639.521220616  TABLE_SEL              0x0124  0x00000000 -> 0x00000080
